k,tot_withinss,lambda,min_cluster_size,max_cluster_size,n_clusters,potentially_unstable,variance_explained_pct
3,85023.7810788723,,9281,13378,3,FALSE,99.65
4,81191.3155347311,,4701,12439,4,FALSE,99.67
5,77678.5735169811,,2849,9227,5,FALSE,99.68
6,74690.9866266973,,3061,7152,6,FALSE,99.69
7,72409.2214283145,,2673,8201,7,FALSE,99.7
8,70731.7448292543,,2267,5597,8,FALSE,99.71
