Wind_Direction,N
SSW,3047
S,2761
NW,2400
SW,2383
WNW,2333
NNW,2202
N,1924
NE,1870
NNE,1822
CALM,1569
W,1530
WSW,1355
ENE,1259
SSE,1169
SE,997
E,833
ESE,770
South,753
West,675
North,623
VAR,462
East,318
Variable,173
