k,cluster,size
3,1,9281
3,2,13378
3,3,10569
4,1,9842
4,2,4701
4,3,12439
4,4,6246
5,1,9227
5,2,4320
5,3,2849
5,4,8985
5,5,7847
6,1,6507
6,2,6271
6,3,7152
6,4,3061
6,5,5199
6,6,5038
7,1,3483
7,2,8201
7,3,3771
7,4,5414
7,5,5622
7,6,4064
7,7,2673
8,1,4844
8,2,4919
8,3,3588
8,4,2267
8,5,4523
8,6,3348
8,7,5597
8,8,4142
