k,silhouette,feature_set
3,0.161184260201902,full
3,0.13728386185195,reduced
4,0.148047601701189,full
4,0.160628364529461,reduced
5,0.155496248244729,full
5,0.155509072919489,reduced
6,0.144249703504112,full
6,0.200364077342558,reduced
7,0.161645857386753,full
7,0.154174671525035,reduced
8,0.160623515948372,full
8,0.164049576597848,reduced
