spatial_cluster,cluster_size,centroid_x_km,centroid_y_km,x_span_km,y_span_km,centroid_lat,centroid_lng,shape_hint,corridor_label
1,1097,6.11764538600596,-4.86803021298425,15.2086603634758,5.17055081399961,40.75597,-73.1274,east_west,Long Island Expressway (I-495)
7,132,19.2660168820585,-1.60647506162102,2.38674209540356,1.34347409999982,40.78547,-72.97137,east_west,Northern State Parkway
2,14792,-22.1567460434364,-1.62564418658786,63.1185968058033,14.8096181160004,40.7853,-73.46293,east_west,Northern State Parkway
3,11080,-27.672488958634,-11.0638496233382,39.4362298941185,14.9291486100003,40.69994,-73.52838,east_west,Southern State Parkway
4,150,-0.836233191272025,2.90543483213963,2.93255039791169,1.09442053961973,40.82628,-73.20992,east_west,Surface Road Cluster
5,187,-12.1551395094181,2.81242304059698,3.27425993421953,1.49064809399986,40.82543,-73.34424,east_west,Surface Road Cluster
10,90,-4.83716095618036,-7.41864070531419,1.56326846067988,1.36558889999976,40.73291,-73.2574,east_west,Surface Road Cluster
6,239,-28.5097992447498,-8.30097452324373,2.93170771101547,2.2750600500001,40.72493,-73.53832,east_west,Surface Road Cluster
8,100,-22.9811129241899,-7.91960657678017,1.33506884925514,1.6167024539998,40.72838,-73.47271,north_south,Meadowbrook / Wantagh Pkwy
9,130,-20.3708465567036,0.280805305934078,1.25754165482814,0.343553417999997,40.80254,-73.44174,east_west,Northern State Parkway
11,140,-26.6225165440065,-14.4221417564793,2.70898556441616,2.37944190599976,40.66957,-73.51592,east_west,Sunrise Highway
12,159,-44.3074014267455,-8.73473456350678,0.824906202446769,1.74165107400018,40.72101,-73.72579,north_south,Meadowbrook / Wantagh Pkwy
