repeat_id,k,rand,jaccard
1,6,0.728747596962285,0.165973833376614
1,3,0.561286470832856,0.230507067696281
2,6,0.755448256416474,0.176017535630776
2,3,0.597021842258253,0.253835064940994
3,6,0.75082651680538,0.174084750151911
3,3,0.575901712163661,0.264541811225913
