checkpoint,status
Validation indices saved,TRUE
Validation metadata saved,TRUE
Stability summary saved,TRUE
Stability metadata saved,TRUE
Selected k assigned,TRUE
Cluster profile PDF saved,TRUE
Working names assigned,TRUE
