k,tot_withinss,min_cluster_size,max_cluster_size,feature_set
3,85386.2067280794,9312,13470,full
3,81533.8634117708,9304,13475,reduced
4,80677.8625349945,5126,10584,full
4,76820.1928738741,5113,10932,reduced
5,78654.2261066757,2319,10509,full
5,74681.35570834,5849,8009,reduced
6,75186.6625448888,2562,8994,full
6,71332.5165982051,2560,9028,reduced
7,72539.3621559844,2089,9126,full
7,68140.1504448823,2026,8326,reduced
8,69535.2464871448,2137,8543,full
8,65781.8045537423,2097,8182,reduced
