metric,value
Rows clustered,33375
Noise pct,15.22
Non-noise clusters,12
Largest cluster size,14792
Largest cluster share pct,44.32
Meets SRS cluster-count target,1
Meets SRS noise target,1
Meets hotspot-balance target,1
