k,silhouette,feature_set
3,0.166664869473604,full
3,0.169339479114865,reduced
4,0.154858525780349,full
4,0.173894897575886,reduced
5,0.137702424486607,full
5,0.159409897775863,reduced
6,0.156981571803822,full
6,0.202930166102264,reduced
7,0.153048086256721,full
7,0.176007009192185,reduced
8,0.14724943994528,full
8,0.157975438210628,reduced
