cluster,dominant_share,k,feature
5,0.7204,7,rush_hour
4,1,7,rush_hour
3,1,7,rush_hour
1,0.9482,7,rush_hour
7,0.8841,7,rush_hour
6,0.7945,7,rush_hour
2,0.9723,7,Sunrise_Sunset
5,0.8875,7,Sunrise_Sunset
4,0.9646,7,Sunrise_Sunset
3,0.9994,7,Sunrise_Sunset
1,0.9989,7,Sunrise_Sunset
7,0.6486,7,Sunrise_Sunset
6,0.7981,7,Sunrise_Sunset
2,0.812,7,weather_group
5,0.6802,7,weather_group
4,0.9913,7,weather_group
3,0.4815,7,weather_group
1,0.554,7,weather_group
7,0.6693,7,weather_group
6,0.7032,7,weather_group
2,0.9752,7,Crossing
5,0.9004,7,Crossing
4,0.9635,7,Crossing
3,0.9303,7,Crossing
1,0.9278,7,Crossing
7,0.9377,7,Crossing
6,0.9486,7,Crossing
2,0.8316,7,Junction
5,0.9823,7,Junction
4,0.8301,7,Junction
3,0.8478,7,Junction
1,0.8322,7,Junction
7,0.8225,7,Junction
6,0.7977,7,Junction
2,0.9782,7,Traffic_Signal
5,0.8956,7,Traffic_Signal
4,0.9635,7,Traffic_Signal
3,0.9423,7,Traffic_Signal
1,0.9363,7,Traffic_Signal
7,0.9447,7,Traffic_Signal
6,0.9568,7,Traffic_Signal
2,0.9906,7,Stop
5,0.9641,7,Stop
4,0.9913,7,Stop
3,0.99,7,Stop
1,0.9915,7,Stop
7,0.9944,7,Stop
6,0.9932,7,Stop
4,0.602,8,hour_band
1,0.5241,8,hour_band
5,0.5573,8,hour_band
2,0.9285,8,hour_band
6,0.3281,8,hour_band
8,0.5624,8,hour_band
7,0.3437,8,hour_band
3,0.7496,8,hour_band
4,0.2033,8,weekday
1,0.211,8,weekday
5,0.1989,8,weekday
2,0.2243,8,weekday
6,0.2165,8,weekday
8,0.2111,8,weekday
7,0.5218,8,weekday
3,0.1817,8,weekday
4,0.8993,8,weekend
1,0.9546,8,weekend
5,0.8866,8,weekend
2,0.9983,8,weekend
6,1,8,weekend
8,0.9052,8,weekend
7,0.9626,8,weekend
3,0.8498,8,weekend
4,0.3097,8,season
1,0.2906,8,season
5,0.283,8,season
2,0.2849,8,season
6,0.5559,8,season
8,0.324,8,season
7,0.2751,8,season
3,0.3609,8,season
4,1,8,rush_hour
1,0.7468,8,rush_hour
5,0.9451,8,rush_hour
2,1,8,rush_hour
6,0.7334,8,rush_hour
